account_id,district_id,frequency,date,Account_type
1573,63,POPLATEK MESICNE,971229,Savings account
3276,1,POPLATEK MESICNE,971229,Salary account
124,55,POPLATEK MESICNE,971228,Salary account
3958,59,POPLATEK MESICNE,971228,NRI account
777,30,POPLATEK MESICNE,971228,Savings account
3025,25,POPLATEK MESICNE,971227,Salary account
906,59,POPLATEK MESICNE,971227,NRI account
845,14,POPLATEK MESICNE,971227,Savings account
3048,74,POPLATEK TYDNE,971226,Salary account
1983,54,POPLATEK MESICNE,971225,NRI account
727,35,POPLATEK MESICNE,971225,NRI account
4332,74,POPLATEK MESICNE,971223,NRI account
564,5,POPLATEK MESICNE,971223,NRI account
3934,6,POPLATEK MESICNE,971223,NRI account
1318,56,POPLATEK MESICNE,971222,Salary account
889,43,POPLATEK MESICNE,971222,NRI account
3385,1,POPLATEK MESICNE,971221,Salary account
703,54,POPLATEK MESICNE,971221,Savings account
1177,27,POPLATEK MESICNE,971220,Salary account
246,65,POPLATEK MESICNE,971220,Salary account
1171,18,POPLATEK MESICNE,971220,NRI account
3187,59,POPLATEK MESICNE,971220,Salary account
2791,25,POPLATEK MESICNE,971219,Savings account
3169,19,POPLATEK MESICNE,971219,Savings account
2049,67,POPLATEK MESICNE,971219,Savings account
758,51,POPLATEK MESICNE,971219,Salary account
2440,19,POPLATEK MESICNE,971218,NRI account
1186,64,POPLATEK MESICNE,971217,NRI account
3911,32,POPLATEK MESICNE,971216,Salary account
3992,43,POPLATEK MESICNE,971216,Savings account
579,1,POPLATEK MESICNE,971216,NRI account
2892,64,POPLATEK MESICNE,971216,Savings account
3616,50,POPLATEK MESICNE,971215,NRI account
938,70,POPLATEK MESICNE,971213,Savings account
3501,36,POPLATEK MESICNE,971213,Salary account
2820,36,POPLATEK MESICNE,971211,NRI account
3033,69,POPLATEK MESICNE,971210,NRI account
3174,65,POPLATEK MESICNE,971210,Savings account
134,34,POPLATEK MESICNE,971210,Salary account
1229,46,POPLATEK MESICNE,971210,Salary account
3209,45,POPLATEK MESICNE,971210,Salary account
1072,65,POPLATEK MESICNE,971209,NRI account
1156,59,POPLATEK MESICNE,971209,Salary account
3836,68,POPLATEK MESICNE,971209,Salary account
3013,73,POPLATEK MESICNE,971209,NRI account
673,31,POPLATEK MESICNE,971208,Savings account
3406,53,POPLATEK MESICNE,971208,Salary account
2796,5,POPLATEK TYDNE,971208,Salary account
2775,30,POPLATEK MESICNE,971208,Savings account
276,38,POPLATEK MESICNE,971208,Savings account
315,45,POPLATEK MESICNE,971208,NRI account
3722,76,POPLATEK MESICNE,971207,Salary account
736,75,POPLATEK MESICNE,971207,Salary account
2787,1,POPLATEK MESICNE,971207,NRI account
21,54,POPLATEK MESICNE,971206,Salary account
1650,39,POPLATEK MESICNE,971206,Savings account
800,11,POPLATEK MESICNE,971206,Savings account
3415,75,POPLATEK MESICNE,971206,NRI account
2918,15,POPLATEK PO OBRATU,971205,NRI account
4140,28,POPLATEK MESICNE,971205,NRI account
1960,31,POPLATEK MESICNE,971204,NRI account
1049,18,POPLATEK MESICNE,971204,NRI account
298,35,POPLATEK MESICNE,971202,Savings account
1717,67,POPLATEK MESICNE,971202,NRI account
10005,64,POPLATEK MESICNE,971129,Salary account
4386,51,POPLATEK TYDNE,971129,Salary account
1868,16,POPLATEK TYDNE,971129,Savings account
232,45,POPLATEK MESICNE,971129,Savings account
1798,46,POPLATEK MESICNE,971128,Savings account
421,75,POPLATEK MESICNE,971127,NRI account
3715,74,POPLATEK MESICNE,971127,Savings account
934,9,POPLATEK MESICNE,971127,Savings account
3333,44,POPLATEK MESICNE,971127,Salary account
215,31,POPLATEK MESICNE,971125,Salary account
1523,52,POPLATEK PO OBRATU,971124,NRI account
3102,33,POPLATEK MESICNE,971123,Savings account
295,66,POPLATEK MESICNE,971123,NRI account
2979,10,POPLATEK MESICNE,971122,Savings account
2850,57,POPLATEK MESICNE,971122,Savings account
2832,12,POPLATEK MESICNE,971122,Salary account
3105,37,POPLATEK MESICNE,971121,Savings account
2162,50,POPLATEK MESICNE,971121,NRI account
1125,1,POPLATEK TYDNE,971121,Savings account
3382,23,POPLATEK TYDNE,971120,Savings account
2125,43,POPLATEK TYDNE,971120,NRI account
3396,1,POPLATEK MESICNE,971120,Salary account
3365,11,POPLATEK MESICNE,971118,Savings account
2693,17,POPLATEK MESICNE,971117,NRI account
